title,artist
FLOWER,JISOO
Last Night,Morgan Wallen
Flowers,Miley Cyrus
Fast Car,Luke Combs
Thank God I Do,Lauren Daigle
Like Crazy (Deep House Remix),Jimin
Calm Down,Rema & Selena Gomez
Like Crazy (UK Garage Remix),Jimin
Like Crazy (English Version),Jimin
Like Crazy (Instrumental),Jimin
Eyes Closed,Ed Sheeran
You Say,Lauren Daigle
Heart Like A Truck,Lainey Wilson
Anti-Hero,Taylor Swift
Like Crazy,Jimin
Lavender Haze (Acoustic Version),Taylor Swift
All Eyes On Me,JISOO
Thinkin’ Bout Me,Morgan Wallen
Players,Coi Leray
Thank God,Kane Brown & Katelyn Brown
Master of War,Peyton Parrish
NASTY (Extended Version),Russ
Thought You Should Know,Morgan Wallen
That’s Not How This Works (feat. Dan + Shay),Charlie Puth
God's Country,Blake Shelton
Rock and a Hard Place,Bailey Zimmerman
SORRY NOT SORRY,"Tyler, The Creator"
NASTY,Russ
TRUSTFALL,P!nk
Kill Bill,SZA
Love You Anyway,Luke Combs
Fighting Myself,LINKIN PARK
Growin' Up and Gettin' Old,Luke Combs
Favorite Song,Toosii
wait in the truck,HARDY & Lainey Wilson
72 Seasons,Metallica
WHARF TALK (feat. A$AP Rocky),"Tyler, The Creator"
5 Leaf Clover,Luke Combs
HEAVEN TO ME,"Tyler, The Creator"
STUNTMAN (feat. Vince Staples),"Tyler, The Creator"
WHAT A DAY,"Tyler, The Creator"
labour,Paris Paloma
Unstoppable,Sia
Wasted On You,Morgan Wallen
Red Ruby Da Sleeze (Sped Up) [feat. Xxtristanxo & Speed Radio],"Nicki Minaj, Xxtristanxo & Speed Radio"
Rescue,Lauren Daigle
It Was Always You,Daisy Jones
One Thing At A Time,Morgan Wallen
I Ain't Worried,OneRepublic
NEED A FAVOR,Jelly Roll
DOGTOOTH,"Tyler, The Creator"
"BOYFRIEND, GIRLFRIEND (feat. YG) [2020 Demo]","Tyler, The Creator"
Something in the Orange (Z&E's Version),Zach Bryan
Jesus and Jesse James,Brandon Davis
Sure Thing,Miguel
Chasin' You,Morgan Wallen
In Jesus Name (God Of Possible),Katy Nichole
VOID,Melanie Martinez
Fight The Feeling,Rod Wave
Love Makes You Blind,Kaylee Rose
Handle On You,Parker McCollum
"Set Me Free, Pt. 2",Jimin
Hold On To Me,Lauren Daigle
All Of The Girls You Loved Before,Taylor Swift
Waiting,Lauren Daigle
Made You Look,Meghan Trainor
Fires Don't Start Themselves,Darius Rucker
As It Was,Harry Styles
Face-off,Jimin
Sounds Like Something I'd Do,Drake Milligan
Son Of A Sinner,Jelly Roll
"Boy's a liar, Pt. 2",PinkPantheress & Ice Spice
Everywhere,Fleetwood Mac
Tennessee Whiskey,Chris Stapleton
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
Dancin’ In The Country,Tyler Hubbard
Cold As Ice,Ava Max
Gratitude,Brandon Lake
You Proof,Morgan Wallen
Die For You (Remix),The Weeknd & Ariana Grande
ICU,Coco Jones
Hold My Hand,Lady Gaga
Alone,Jimin
Escapism.,RAYE & 070 Shake
Unholy,Sam Smith & Kim Petras
You Raise Me Up,Josh Groban
I Wrote The Book,Morgan Wallen
Bloody Mary,Lady Gaga
Cowgirls (feat. ERNEST),Morgan Wallen
Lost,LINKIN PARK
Shivers,Ed Sheeran
I'm Good (Blue),David Guetta & Bebe Rexha
Look At Us Now (Honeycomb),Daisy Jones & The Six
"Going, Going, Gone",Luke Combs
This Is Our God,Phil Wickham
Interlude : Dive,Jimin
EVERYTHING MUST GO,"Tyler, The Creator"
Eyes Closed,Ed Sheeran
BESO,ROSALÍA & Rauw Alejandro
Mother,Meghan Trainor
